S,m_1,n_1,m_2,n_2,hat_p,W_1,W_2
"{(5, 2), (7, 2)}",5,2,7,2,11/14,8/13,5/13
"{(5, 3), (5, 3)}",5,3,5,3,9/14,1/2,1/2
"{(5, 3), (6, 2)}",5,3,6,2,5/7,103/143,40/143
"{(5, 3), (7, 1)}",5,3,7,1,11/14,47/52,5/52
"{(6, 1), (6, 3)}",6,1,6,3,11/14,2/13,11/13
"{(6, 1), (7, 2)}",6,1,7,2,6/7,4/13,9/13
"{(6, 2), (5, 3)}",6,2,5,3,5/7,40/143,103/143
"{(6, 2), (6, 2)}",6,2,6,2,11/14,1/2,1/2
"{(6, 2), (7, 1)}",6,2,7,1,6/7,10/13,3/13
"{(7, 1), (5, 3)}",7,1,5,3,11/14,5/52,47/52
"{(7, 1), (6, 2)}",7,1,6,2,6/7,3/13,10/13
"{(7, 1), (7, 1)}",7,1,7,1,13/14,1/2,1/2
"{(4, 3), (7, 3)}",4,3,7,3,2/3,102/143,41/143
"{(5, 2), (7, 3)}",5,2,7,3,11/15,6/13,7/13
"{(5, 3), (6, 3)}",5,3,6,3,2/3,82/143,61/143
"{(5, 3), (7, 2)}",5,3,7,2,11/15,10/13,3/13
"{(6, 1), (7, 3)}",6,1,7,3,4/5,12/65,53/65
"{(6, 2), (6, 3)}",6,2,6,3,11/15,22/65,43/65
"{(6, 2), (7, 2)}",6,2,7,2,4/5,36/65,29/65
"{(7, 1), (6, 3)}",7,1,6,3,4/5,8/65,57/65
"{(7, 1), (7, 2)}",7,1,7,2,13/15,4/15,11/15
"{(5, 3), (7, 3)}",5,3,7,3,11/16,33/52,19/52
"{(6, 2), (7, 3)}",6,2,7,3,3/4,51/130,79/130
"{(6, 3), (6, 3)}",6,3,6,3,11/16,1/2,1/2
"{(6, 3), (7, 2)}",6,3,7,2,3/4,93/130,37/130
"{(7, 1), (7, 3)}",7,1,7,3,13/16,3/20,17/20
"{(7, 2), (6, 3)}",7,2,6,3,3/4,37/130,93/130
"{(7, 2), (7, 2)}",7,2,7,2,13/16,1/2,1/2
"{(6, 3), (7, 3)}",6,3,7,3,12/17,249/442,193/442
"{(7, 2), (7, 3)}",7,2,7,3,13/17,57/170,113/170
"{(7, 3), (7, 3)}",7,3,7,3,13/18,1/2,1/2
